TotalPremium,PolicyAge,PremiumPerClaim,IsHighRiskProvince,Province_encoded,Gender_encoded,VehicleType_encoded,make_encoded
235.170789473684,1.0,0.05522692708303208,0,8,1,4,19
21.929824561403,0.33424657534246577,0.011246063819970441,0,2,2,4,24
242.711140350877,0.25205479452054796,0.009829258788796464,0,2,2,4,24
21.929824561403,0.25205479452054796,0.03676470526600258,0,2,2,4,24
990.832368421053,0.5808219178082191,0.026271047319341385,1,3,2,4,24
770.118684210526,0.4958904109589041,0.022110802924279454,1,3,2,4,24
34.874409356725,1.3342465753424657,0.0019645117726573573,0,6,2,4,0
971.748684210526,0.33424657534246577,0.01145741133660915,1,3,2,4,24
15.78947368421,1.167123287671233,0.008601328380534361,0,5,2,4,24
0.0,0.8328767123287671,0.0,0,2,2,4,5
906.081842105263,0.08493150684931507,0.012418952086060893,1,3,2,4,24
772.815438596491,0.08493150684931507,0.02406610594231426,1,3,2,4,24
74.561403508771,0.33424657534246577,0.012142857123081486,0,2,2,4,24
466.207543859649,0.33424657534246577,0.01673095223328751,0,8,2,4,24
0.0,0.5808219178082191,0.0,0,2,2,4,24
416.416140350877,0.16712328767123288,0.015412805189100461,1,3,2,4,3
554.358947368421,0.6657534246575343,0.012515391510374915,0,2,2,4,24
74.561403508771,0.33424657534246577,0.012142857123081486,0,2,2,3,27
74.561403508771,0.4958904109589041,0.012142857123081486,0,2,2,4,24
778.83298245614,0.25205479452054796,0.029626267131444464,0,2,2,4,24
567.269824561404,0.4191780821917808,0.0115515779695254,0,5,2,4,24
21.929824561403,0.08493150684931507,0.011790228195430493,1,3,2,4,24
21.929824561403,0.08493150684931507,0.01612487088246639,0,5,2,4,24
14.855687606112,0.08493150684931507,0.01979045463032754,0,8,2,4,24
366.606140350877,0.16712328767123288,0.069771452287914,0,8,2,4,24
21.929824561403,0.7479452054794521,0.019069412496268586,0,2,2,4,24
0.0,0.25205479452054796,0.0,0,2,2,4,24
553.740877192982,0.16712328767123288,0.03313214645168524,0,2,2,4,24
571.045263157895,0.7479452054794521,0.017181038217987575,0,2,2,4,24
21.929824561403,0.4191780821917808,0.007309941496101194,0,2,2,1,11
368.561228070175,0.33424657534246577,0.0061069738361973795,0,2,2,4,24
688.673208828523,0.25205479452054796,0.01608479240393018,0,2,2,4,20
674.871754385965,0.4958904109589041,0.7939667605250558,0,2,2,4,24
21.929824561403,0.4191780821917808,0.007103927596489706,0,2,2,4,2
24473.3637719298,0.7479452054794521,28.792192334126913,0,8,2,5,26
539.35798245614,0.5808219178082191,0.029541480315062717,0,2,2,4,24
21.929824561403,0.5808219178082191,0.00877192978947348,0,2,1,3,16
535.497894736842,0.25205479452054796,0.013173379941085072,1,3,2,4,24
21.929824561403,0.5808219178082191,0.02921448064476865,0,0,2,4,24
207.991058290889,1.0,0.08512319393758708,0,8,2,4,0
74.561403508771,0.6657534246575343,0.02833333322566632,0,6,2,4,24
696.014561403509,0.7479452054794521,0.4029744009172637,0,8,2,4,24
706.019649122807,0.25205479452054796,0.0285282492049795,0,2,2,4,24
21.929824561403,0.08493150684931507,0.015479876051720604,1,3,2,4,24
474.602396717601,0.08493150684931507,0.01163416260886863,0,2,2,4,24
756.723245614035,0.08493150684931507,1.0148874583008232,1,3,2,4,24
15.78947368421,1.0,0.021034426064233218,0,8,2,4,24
74.561403508771,0.5808219178082191,0.012142857123081486,0,2,2,4,24
242.711052631579,0.25205479452054796,0.00578590382848804,0,6,2,4,3
21.929824561403,0.16712328767123288,0.026881720100589063,0,6,2,4,24
458.31947368421,1.3342465753424657,0.02602075147729445,0,2,2,4,24
68.336162988115,0.4191780821917808,0.011129032239940025,0,2,2,4,24
74.561403508771,0.5808219178082191,0.08499999903099897,0,2,2,4,24
14.148273910582,0.5808219178082191,0.01884805202888223,0,6,2,4,24
0.0,0.25205479452054796,0.0,0,8,2,4,24
773.040175438596,0.5808219178082191,0.4475702361085317,1,3,2,4,24
0.0,0.5808219178082191,0.0,0,2,2,4,5
331.705175438596,0.5808219178082191,0.015773379404392898,0,2,2,4,24
458.31947368421,0.5808219178082191,0.006748633504705134,0,2,2,4,24
24.052065647991,0.5808219178082191,0.003917050684865054,0,4,2,4,24
21.929824561403,0.33424657534246577,0.02921448064476865,0,7,2,4,24
0.0,0.4191780821917808,0.0,0,2,2,4,24
461.567317487267,0.4191780821917808,0.01435981611144782,1,3,2,4,24
74.561403508771,0.33424657534246577,0.012142857123081486,1,3,2,4,24
674.871754385965,0.16712328767123288,0.052540112516691405,0,2,2,4,24
663.626140350877,0.33424657534246577,0.061466285181013706,0,2,2,4,24
218.339824561404,0.8328767123287671,0.048337353127746396,0,8,2,4,24
0.0,1.4191780821917808,0.0,0,2,2,4,24
21.929824561403,0.4191780821917808,0.00812215721488201,0,4,2,3,17
21.929824561403,0.08493150684931507,0.01666666653999962,0,6,2,3,16
21.929824561403,0.33424657534246577,0.033333332826665917,0,2,2,4,24
664.489035087719,0.16712328767123288,0.04509244508482844,0,2,2,4,24
36.078098471986,0.4191780821917808,0.005875576027297499,0,2,2,4,24
573.121842105263,0.33424657534246577,0.00925686788885324,0,6,2,4,24
15.78947368421,1.252054794520548,0.005318639686793261,0,2,2,4,24
15.78947368421,0.7479452054794521,0.009254593823328296,0,8,2,4,27
21.929824561403,0.25205479452054796,0.029205607087681662,1,3,2,4,24
74.561403508771,0.25205479452054796,0.013076923053988006,1,3,2,4,24
